 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 29, 2016 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Rubidium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.5320E+00 g/cm3 = 1.0794E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Rb     37    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  37.50 MeV   9.323E-03  3.680E-06   14.92 mm   679.54 um     1.02 mm  
  40.00 MeV   8.881E-03  3.474E-06   16.70 mm   746.81 um     1.14 mm  
  45.00 MeV   8.128E-03  3.127E-06   20.50 mm   962.15 um     1.39 mm  
  50.00 MeV   7.511E-03  2.846E-06   24.64 mm     1.17 mm     1.65 mm  
  55.00 MeV   6.994E-03  2.613E-06   29.11 mm     1.38 mm     1.94 mm  
  60.00 MeV   6.556E-03  2.417E-06   33.88 mm     1.58 mm     2.24 mm  
  65.00 MeV   6.178E-03  2.250E-06   38.97 mm     1.79 mm     2.56 mm  
  70.00 MeV   5.850E-03  2.105E-06   44.35 mm     2.00 mm     2.90 mm  
  80.00 MeV   5.305E-03  1.866E-06   55.97 mm     2.69 mm     3.63 mm  
  90.00 MeV   4.872E-03  1.679E-06   68.71 mm     3.35 mm     4.41 mm  
 100.00 MeV   4.519E-03  1.526E-06   82.51 mm     4.00 mm     5.26 mm  
 110.00 MeV   4.225E-03  1.401E-06   97.33 mm     4.64 mm     6.16 mm  
 120.00 MeV   3.976E-03  1.295E-06  113.13 mm     5.29 mm     7.11 mm  
 130.00 MeV   3.763E-03  1.204E-06  129.87 mm     5.94 mm     8.11 mm  
 140.00 MeV   3.579E-03  1.126E-06  147.52 mm     6.59 mm     9.15 mm  
 150.00 MeV   3.418E-03  1.058E-06  166.04 mm     7.26 mm    10.24 mm  
 160.00 MeV   3.275E-03  9.978E-07  185.41 mm     7.93 mm    11.38 mm  
 170.00 MeV   3.149E-03  9.444E-07  205.58 mm     8.61 mm    12.55 mm  
 180.00 MeV   3.036E-03  8.966E-07  226.54 mm     9.30 mm    13.75 mm  
 200.00 MeV   2.842E-03  8.148E-07  270.67 mm    11.55 mm    16.27 mm  
 225.00 MeV   2.646E-03  7.321E-07  329.78 mm    14.68 mm    19.60 mm  
 250.00 MeV   2.487E-03  6.651E-07  392.97 mm    17.63 mm    23.11 mm  
 275.00 MeV   2.357E-03  6.098E-07  459.92 mm    20.47 mm    26.77 mm  
 300.00 MeV   2.248E-03  5.633E-07  530.35 mm    23.24 mm    30.57 mm  
 325.00 MeV   2.156E-03  5.236E-07  603.99 mm    25.97 mm    34.48 mm  
